"Reference","Value","Footprint","Datasheet","Sim.Device","Sim.Library","Sim.Name","Sim.Params","Sim.Pins","Qty"
"C1","150nF 305VAC","Capacitor_THT:C_Rect_L16.5mm_W6.0mm_P15.00mm_MKT","~","","","","","","1"
"C2","68uF 400V","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","~","","","","","","1"
"C3","100nF 400V","Capacitor_THT:C_Rect_L9.0mm_W3.2mm_P7.50mm_MKT","~","","","","","","1"
"C4, C7, C10, C11","100nF 25V","Capacitor_SMD:C_0805_2012Metric","~","","","","","","4"
"C5","47uF 50V","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","1"
"C6, C13","1uF 25v","Capacitor_SMD:C_0805_2012Metric","~","","","","","","2"
"C8","2.2nF 50V","Capacitor_SMD:C_1206_3216Metric","~","","","","","","1"
"C9","220pF 50V","Capacitor_SMD:C_1206_3216Metric","~","","","","","","1"
"C12","470uF 25V","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","1"
"D1-D4","S2G","Diode_SMD:D_SMB","https://www.onsemi.com/pub/Collateral/US2AA-D.PDF","D","","","","1=K 2=A","4"
"D5","P6KE200A","Diode_THT:D_DO-15_P3.81mm_Vertical_AnodeUp","~","","","","","","1"
"D6","UF4007","Diode_THT:D_DO-41_SOD81_P3.81mm_Vertical_AnodeUp","~","D","","","","1=K 2=A","1"
"D7","ES2D","Diode_SMD:D_SMB","~","D","","","","1=K 2=A","1"
"D8","SB5100L","Diode_THT:D_DO-27_P12.70mm_Horizontal","~","D","","","","1=K 2=A","1"
"J1, J2","Screw_Terminal_01x02","Connector_Wago:Wago_734-132_1x02_P3.50mm_Vertical","~","","","","","","2"
"L1","28mH 2A","Common_mode:SQ1515","http://www.meisongbei.com/res/meisongbei/pdres/202111/flat_wire_choke_SQ1515.pdf","","","","","","1"
"L2","100R 100MHz","Inductor_SMD:L_1206_3216Metric","~","","","","","","1"
"Q1","6N60N","Package_TO_SOT_THT:TO-220-3_Vertical","https://pdf.direnc.net/upload/6n60-datasheet.pdf","","","","","","1"
"R1","33R 1/4W","Resistor_SMD:R_1206_3216Metric","~","","","","","","1"
"R2","0.33R 1/4W","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical","~","","","","","","1"
"R3","10K 1/4W","Resistor_SMD:R_1206_3216Metric","~","","","","","","1"
"R4-R6, R9","100K 1/4W","Resistor_SMD:R_1206_3216Metric","~","","","","","","4"
"R7","3.3k 1/4W","Resistor_SMD:R_1206_3216Metric","~","","","","","","1"
"R8, R10","1k 1/4W","Resistor_SMD:R_1206_3216Metric","~","","","","","","2"
"R11, R14","680R 1/4W","Resistor_SMD:R_1206_3216Metric","~","","","","","","2"
"R12","4.7k 1/4W","Resistor_SMD:R_1206_3216Metric","~","","","","","","1"
"R13","2.2k 1/4W","Resistor_SMD:R_1206_3216Metric","~","","","","","","1"
"RV1","TVR07471K","Varistor:RV_Disc_D9mm_W6.1mm_P5mm","~","SUBCKT","${KICAD7_SYMBOL_DIR}/Simulation_SPICE.sp","kicad_builtin_varistor","threshold=1k","1=A 2=B","1"
"RV2","4.7k","Potentiometer_THT:Potentiometer_Bourns_3339W_Horizontal","~","","","","","","1"
"T1","EE30 0.33mH 50W","","","","","","","","1"
"TH1","KLS6-MF72-20D11","Varistor:RV_Disc_D12mm_W3.9mm_P7.5mm","~","","","","","","1"
"U1","UC3842_SOIC8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/uc3842.pdf","","","","","","1"
"U2","PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","","","","","","1"
"U3","TL431","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tl431.pdf","","","","","","1"
